target,model,mae,rmse,r2,bias,spearman,residual_std
PI,Blend_Tree3,0.03466946724632064,0.05854133316910532,0.7729531795193874,0.0020885133448320897,0.8966662872320242,0.058504066535794326
PI,ExtraTrees,0.03606144971782988,0.05901442728446976,0.7692686531511598,0.002327249121890758,0.8956478846518687,0.05896852159617559
PI,RandomForest,0.0367039914560676,0.06021037884366777,0.7598221641803475,0.0028955715738913346,0.8988267880857522,0.060140713212918154
PI,HistGB,0.036897827699313435,0.06169967298965244,0.7477936992608449,0.0010427193387141929,0.8742682602921646,0.061690861425422794
PI,ElasticNet,0.045727629554852975,0.06751705290608848,0.6979928937355033,0.0013025979241215934,0.8524029595902106,0.06750448630847897
PI,PLS,0.047970245732178805,0.0708933299977822,0.6670331783352452,0.0009874368610996657,0.8361039650920129,0.07088645291323149
R_W,RandomForest,0.01561646092653021,0.023514300903799107,0.7006109833388664,0.0005669183249600064,0.8462819199392905,0.023507465848262587
R_W,Blend_Tree3,0.015647427634957932,0.023690427909645904,0.6961092146085255,0.0007653425225248516,0.8430392714854865,0.02367806211169624
R_W,HistGB,0.015968764003749372,0.024152787702127622,0.6841315501480172,0.0012848518792425284,0.8269747275330936,0.024118588462686916
R_W,ExtraTrees,0.016606438041897723,0.02513956078973116,0.6577944152812814,0.0004442573633720042,0.8308078163536331,0.025135635104283287
R_W,ElasticNet,0.019226732049770132,0.027760866891595303,0.5827102006188583,0.0009750439341118159,0.7996539556061467,0.02774373839084099
R_W,PLS,0.019932901501752916,0.028362969447513837,0.5644127939182809,0.0011179593285850485,0.7767748055397458,0.028340928051498827
W_1,Blend_Tree3,0.044309776832437725,0.06532467727679109,0.9594676427174124,0.005548464441836148,0.9441130715234302,0.06508861654432814
W_1,HistGB,0.04592579103978782,0.06703604343529938,0.9573161029409528,0.005608251640786557,0.9422467455381518,0.06680103766404352
W_1,RandomForest,0.04687640761835372,0.06817646099383685,0.9558514724579779,0.00543021050856293,0.9406033010813888,0.06795986056104626
W_1,ExtraTrees,0.047901301969053005,0.0706554095630866,0.9525825545960267,0.005606931176158969,0.9438914816922784,0.07043258637387473
W_1,ElasticNet,0.051258845154239584,0.06991552851405872,0.9535704358927872,0.0004788999784239944,0.9339700246632516,0.06991388833565776
W_1,PLS,0.055770004857674055,0.07667586018011849,0.9441575286572645,-0.0013561123419285278,0.9215837601973058,0.07666386693662894
conductivity,Blend_Tree3,7.856552769687381,17.678394745763228,0.726425434079174,-0.5307739421485383,0.931709718671279,17.670425003642812
conductivity,ElasticNet,8.030295471040386,17.30500241206648,0.7378599410088387,0.29701694734552075,0.9306192141990898,17.302453277342384
conductivity,RandomForest,8.422545463464035,17.8740906513208,0.7203350908234092,-0.4918128580408925,0.9331219864672046,17.867323154974816
conductivity,ExtraTrees,8.611941687314111,17.602447201220475,0.7287709735324104,-0.2164858517349333,0.9277426956174376,17.60111591200266
conductivity,HistGB,8.671805198313118,19.211830704056133,0.6769069869618003,-0.8840231166697894,0.9050977708091622,19.19148097804095
conductivity,PLS,8.958519361133757,18.066042665143225,0.7142961270964144,0.10744804003907285,0.9025343605045705,18.06572313796121
pH,Blend_Tree3,0.1740005102853365,0.29563435808582833,0.919029447798488,0.009669682873574904,0.9246051279284968,0.295476176559032
pH,ExtraTrees,0.18223030350630498,0.3067332282823561,0.9128356409706385,0.006476981358461288,0.9221155358509474,0.30666483666210925
pH,RandomForest,0.18469464686938494,0.3086809836355026,0.911725139295833,0.01019080413835515,0.9212955376068408,0.3085127180023461
pH,HistGB,0.1914061713220783,0.3179065351598063,0.9063697460265123,0.012341263123908196,0.9058004075494751,0.317666898372839
pH,ElasticNet,0.19519710620784744,0.3061258601639331,0.9131804907181162,0.00604413400745994,0.9001630331131844,0.30606618680476255
pH,PLS,0.23072306515942687,0.3371318652251942,0.8947027821018966,0.003615594468489303,0.8724367713368613,0.3371124768187288
