GUID,radius,center_pred_PI,neighbor_count,mean_pred_PI,min_pred_PI,std_pred_PI,pH_ok_rate,high_trust_rate,robustness_score,robustness_class
q5cand_0235,0.1,0.834126137860029,14,0.800046343151193,0.7238030108988736,0.034542485225002334,1.0,0.2857142857142857,0.7315365057763277,isolated_peak
q5cand_0238,0.1,0.8345400902768993,21,0.7945958390830377,0.7046660789934108,0.03636386771976566,1.0,0.2857142857142857,0.714853453551195,isolated_peak
q5cand_0252,0.1,0.832443963039279,21,0.801404239736298,0.7225843308597609,0.032367883770234245,1.0,0.42857142857142855,0.7420086880589231,conditional_candidate
q5cand_0229,0.1,0.7999317506058478,21,0.7911070352542521,0.7118275180843924,0.03441623686341641,1.0,0.14285714285714285,0.7266647866456484,conditional_candidate
q5cand_0226,0.1,0.8007217971398203,21,0.7865116724453391,0.716259319819072,0.028885864702879183,1.0,0.0,0.7211717420226617,conditional_candidate
q5cand_0236,0.1,0.8338255312313442,14,0.7997747360429174,0.7243460779549911,0.03412636808562058,1.0,0.2857142857142857,0.7320196292219585,isolated_peak
q5cand_0237,0.1,0.8341730664361963,21,0.7943258774404498,0.7043434037693737,0.03650025930821597,1.0,0.2857142857142857,0.71449655294618,isolated_peak
q5cand_0249,0.1,0.833487591253634,14,0.801655323190957,0.7232003507129717,0.03249818855281786,1.0,0.2857142857142857,0.7347988663640858,isolated_peak
q5cand_0240,0.1,0.8010041067721644,21,0.7903360695370208,0.7226581977065241,0.02585442019962974,1.0,0.0,0.7304795788444969,conditional_candidate
q5cand_0231,0.1,0.8148329735453603,21,0.7888849145698923,0.7047219053259305,0.0352173201119474,0.9523809523809523,0.14285714285714285,0.7127983815134766,conditional_candidate
