GUID,conductivity,pH,W_1,R_W,S_pH,PI,rank_PI,rank_cond,recipe
{C728CD3D-8F64-3AC1-255C-2BDE9394431E},170.5,7.54,2.546404,0.9132601478271193,1.0,0.8671434755796817,1,16,NaNO3:5.00; NaClO4:1.00
{A0A3756C-1996-1342-9DE2-C26476ED0DC2},165.7,7.62,2.5798810000000003,0.9163025557496377,1.0,0.8601818023972836,2,28,NaNO3:6.00; NaClO4:1.00
{04C73CE4-61A8-3342-122D-D22EA0A71248},167.4,7.66,2.514971,0.9125733741038806,1.0,0.8552102819076631,3,23,NaNO3:3.00; NaClO4:2.00
{645BD932-12A7-7EB5-2273-429204318D55},163.7,8.06,2.536943,0.9212048919003318,1.0,0.8503957420585112,4,39,LiNO3:0.10; Li2SO4:0.20; NaNO3:5.60; NaClO4:0.50
{67331D49-137E-D1B2-D46A-5FCFCD96A9A0},162.8,7.79,2.546115,0.9046381752858044,1.0,0.8470858629974295,5,41,NaNO3:2.00; NaClO4:3.00
{8A3E9C29-D21C-D40C-AB83-54338FEAE662},164.2,7.93,2.488244,0.9083675519704678,1.0,0.8431751101092744,6,34,NaNO3:1.00; NaClO4:3.00
{CE55911B-3494-64C3-A826-217B9E49902D},157.7,7.79,2.623823,0.9115123719054603,1.0,0.8428711138807207,7,51,NaNO3:5.00; NaClO4:2.00
{24BDD1EA-13A7-6CEA-5F04-66F921E7C42B},162.9,8.18,2.4811389999999998,0.8969660314386876,1.0,0.8375644875313631,8,40,Na2SO4:0.30; LiNO3:1.30; Li2SO4:0.10; NaNO3:4.60; NaClO4:0.30
{FDA7B14C-8341-4BFB-BA54-DD53B589C923},161.8,7.84,2.471036,0.9285660871261128,1.0,0.8373529167484454,9,44,NaClO4:4.00
{BD7B1593-D933-6EDE-9F11-A13C49C66AE9},157.0,7.92,2.576955,0.9055005639712006,1.0,0.8357470232743641,10,53,NaNO3:1.00; NaClO4:4.00
