target,slice,count,mae,rmse,bias,mae_ratio_vs_overall
PI,RW_gt_1,7,0.01781437563759217,0.0238470798340978,0.003795322018681459,0.5138347096891935
PI,high_PI_top10,26,0.03853118125975274,0.04707672628419843,-0.03853118125975274,1.1113865980689948
PI,high_PI_top20,51,0.029925044181091976,0.04158032766399866,-0.02916035469813097,0.8631526976887084
PI,high_cond_low_PI,15,0.058869765209289,0.07186108844170556,0.05623012092318255,1.6980291272152923
PI,low_PI_bottom10,26,0.10419976409222491,0.13112990549990164,0.09308227953690656,3.0055196219746727
PI,overall,251,0.03466946724632064,0.05854133316910532,0.0020885133448320897,1.0
PI,rare_pattern,26,0.053119634792156825,0.07736395167283772,0.015665262859184383,1.5321733793816588
R_W,RW_gt_1,7,0.04645943782820862,0.04984640000723833,-0.04645943782820862,2.975029876921758
R_W,high_PI_top10,26,0.013169339915791103,0.01829216457841077,-0.0074958691286275796,0.8432986178973633
R_W,high_PI_top20,51,0.01206806169547887,0.01891531287041978,-0.0018948019300260958,0.7727782723790446
R_W,high_cond_low_PI,15,0.01218289491932966,0.015181487050325824,-0.0008629421799755048,0.7801316173136645
R_W,low_PI_bottom10,26,0.030369917939868932,0.03723637931598321,0.011644892745807985,1.9447375485872498
R_W,overall,251,0.01561646092653021,0.023514300903799107,0.0005669183249600064,1.0
R_W,rare_pattern,26,0.02037655520237788,0.02746330248323228,0.00316403268400692,1.3048126139617797
W_1,RW_gt_1,7,0.013498913125448566,0.01702595707992733,-0.0040919980459057015,0.30464863717314994
W_1,high_PI_top10,26,0.04196331118741304,0.04955635043268678,-0.03498273646977807,0.9470440653786611
W_1,high_PI_top20,51,0.03931951360466563,0.05454472131944342,-0.015341027587491944,0.8873778298039432
W_1,high_cond_low_PI,15,0.034473610110184245,0.043026744117751356,0.03029776211221497,0.7780136253123092
W_1,low_PI_bottom10,26,0.08150177893838263,0.10988474856017454,0.06145789018112033,1.839363336145667
W_1,overall,251,0.044309776832437725,0.06532467727679109,0.005548464441836148,1.0
W_1,rare_pattern,26,0.06514327291009435,0.0873740375997584,0.035251928877016635,1.4701783120334992
conductivity,RW_gt_1,7,3.5948870409645144,5.064750119095762,3.4947633978806283,0.45756544203897176
conductivity,high_PI_top10,26,6.78637042619455,11.210486155099536,-5.49263472070607,0.8637847444210045
conductivity,high_PI_top20,51,5.336713312727464,9.435345722031398,-4.492306928683683,0.6792690724764032
conductivity,high_cond_low_PI,15,11.009306029760722,13.352096340266492,-11.009306029760722,1.4012896434982887
conductivity,low_PI_bottom10,26,14.93109677220287,24.82275430616653,3.181155241056165,1.9004641361044396
conductivity,overall,251,7.856552769687381,17.678394745763228,-0.5307739421485383,1.0
conductivity,rare_pattern,26,8.125933111674462,11.2729684847469,-4.58665982132057,1.0342873458479678
pH,RW_gt_1,7,0.1724789275959295,0.19425122571113634,-0.09156970528580503,0.9912552975453244
pH,high_PI_top10,26,0.12200860928164801,0.1613451128637841,-0.05467269703901801,0.7011968475355098
pH,high_PI_top20,51,0.10665906728424325,0.16175376529717905,-0.01862265000451408,0.612981347637069
pH,high_cond_low_PI,15,0.26918384165149234,0.3323984252644268,0.24638765796597795,1.5470290357773577
pH,low_PI_bottom10,26,0.34399311189143383,0.4445683676299603,0.07070262928670547,1.9769661096242375
pH,overall,251,0.1740005102853365,0.29563435808582833,0.009669682873574904,1.0
pH,rare_pattern,26,0.32131662789141546,0.41245182503270267,0.016295059973310266,1.846641871133028
