feature,region,target,high_minus_low,effect_sign,sample_count
ionic_strength_proxy,high_PI_common,conductivity,6.400000000000034,positive,48
ionic_strength_proxy,mid_PI_common,conductivity,26.607196969696943,positive,88
ionic_strength_proxy,rare_pattern,conductivity,43.64285714285711,positive,26
ratio_NaBr,high_PI_common,conductivity,0.0,positive,48
ratio_NaBr,mid_PI_common,conductivity,7.8797659430122025,positive,88
ratio_NaBr,rare_pattern,conductivity,40.2076923076923,positive,26
lithium_ratio,high_PI_common,conductivity,-10.061904761904742,negative,48
lithium_ratio,mid_PI_common,conductivity,-30.210358974358982,negative,88
lithium_ratio,rare_pattern,conductivity,-22.68761904761905,negative,26
perchlorate_ratio,high_PI_common,conductivity,5.815897435897455,positive,48
perchlorate_ratio,mid_PI_common,conductivity,8.645454545454513,positive,88
perchlorate_ratio,rare_pattern,conductivity,-22.357142857142833,negative,26
present_NaBr,high_PI_common,conductivity,0.0,positive,48
present_NaBr,mid_PI_common,conductivity,7.8797659430122025,positive,88
present_NaBr,rare_pattern,conductivity,28.299999999999983,positive,26
ionic_strength_proxy,high_PI_common,PI,0.020560969441800303,positive,48
ionic_strength_proxy,mid_PI_common,PI,0.029677593041423922,positive,88
ionic_strength_proxy,rare_pattern,PI,0.24274898733303946,positive,26
ratio_NaBr,high_PI_common,PI,0.0,positive,48
ratio_NaBr,mid_PI_common,PI,-0.007332753119184687,negative,88
ratio_NaBr,rare_pattern,PI,-0.09817876611388576,negative,26
lithium_ratio,high_PI_common,PI,-0.02106424077936675,negative,48
lithium_ratio,mid_PI_common,PI,0.008294837071177508,positive,88
lithium_ratio,rare_pattern,PI,0.17708378042533424,positive,26
perchlorate_ratio,high_PI_common,PI,0.011971184586275552,positive,48
perchlorate_ratio,mid_PI_common,PI,0.01119778634573465,positive,88
perchlorate_ratio,rare_pattern,PI,0.2823238615540171,positive,26
present_NaBr,high_PI_common,PI,0.0,positive,48
present_NaBr,mid_PI_common,PI,-0.007332753119184687,negative,88
present_NaBr,rare_pattern,PI,-0.12171679429248583,negative,26
