feature,target,regions_covered,direction_consistency,mean_effect
ionic_strength_proxy,conductivity,3,stable,25.55001803751803
ionic_strength_proxy,PI,3,stable,0.09766251660542123
ratio_NaBr,conductivity,3,stable,16.029152750234832
ratio_NaBr,PI,3,conditional,-0.03517050641102348
lithium_ratio,conductivity,3,stable,-20.986627594627592
lithium_ratio,PI,3,conditional,0.054771458905715
perchlorate_ratio,conductivity,3,conditional,-2.6319302919302885
perchlorate_ratio,PI,3,stable,0.10183094416200911
present_NaBr,conductivity,3,stable,12.059921981004061
present_NaBr,PI,3,conditional,-0.043016515803890175
