cluster_id,target,sample_count,mae,mae_ratio_vs_global,mean_pi,rare_ratio
0,conductivity,59,14.700374874891185,1.8710973254846637,0.7635301399262175,0.06779661016949153
1,conductivity,86,3.0413449998525386,0.38710934540996617,0.7255451983896006,0.046511627906976744
2,conductivity,40,7.146030073760765,0.9095630467005839,0.5915222635935832,0.15
3,conductivity,66,8.443572039927332,1.0747171548958245,0.6516757248929643,0.18181818181818182
0,pH,59,0.29150083822711836,1.6752872606470965,0.7635301399262175,0.06779661016949153
1,pH,86,0.05965430305030545,0.34283981669065644,0.7255451983896006,0.046511627906976744
2,pH,40,0.17837887444248593,1.0251629386027057,0.5915222635935832,0.15
3,pH,66,0.21530535736657253,1.2373834824593435,0.6516757248929643,0.18181818181818182
0,W_1,59,0.057502682418332715,1.2977425419176771,0.7635301399262175,0.06779661016949153
1,W_1,86,0.02395409147213945,0.5406051030842353,0.7255451983896006,0.046511627906976744
2,W_1,40,0.07727624298143723,1.743999823643117,0.5915222635935832,0.15
3,W_1,66,0.03906051721816295,0.8815327002407298,0.6516757248929643,0.18181818181818182
0,R_W,59,0.01708038083856163,1.0937421044959308,0.7635301399262175,0.06779661016949153
1,R_W,86,0.007553137453806626,0.4836651203714721,0.7255451983896006,0.046511627906976744
2,R_W,40,0.026303868194826864,1.6843680728032444,0.5915222635935832,0.15
3,R_W,66,0.01833734354944701,1.1742317056161167,0.6516757248929643,0.18181818181818182
0,PI,59,0.0542561926838794,1.56495605480172,0.7635301399262175,0.06779661016949153
1,PI,86,0.00965305763358154,0.27843109226335133,0.7255451983896006,0.046511627906976744
2,PI,40,0.045673105889223194,1.3173870127488139,0.5915222635935832,0.15
3,PI,66,0.043088389673040246,1.2428339139711782,0.6516757248929643,0.18181818181818182
