GUID,mean_pred_PI_r01,mean_pred_PI_r02,drop_r02_minus_r01
q5cand_0226,0.7865116724453391,0.7847838508338005,-0.0017278216115386158
q5cand_0229,0.7911070352542521,0.7758381129250298,-0.015268922329222279
q5cand_0231,0.7888849145698923,0.7743516454782846,-0.014533269091607681
q5cand_0235,0.800046343151193,0.7874447211204453,-0.012601622030747772
q5cand_0236,0.7997747360429174,0.7951826077932534,-0.004592128249663929
q5cand_0237,0.7943258774404498,0.7834192231812762,-0.010906654259173587
q5cand_0238,0.7945958390830377,0.7880200953369454,-0.006575743746092266
q5cand_0240,0.7903360695370208,0.7902440418761901,-9.2027660830718e-05
q5cand_0249,0.801655323190957,0.7971754932586486,-0.004479829932308443
q5cand_0252,0.801404239736298,0.7963407914240702,-0.005063448312227825
